n,slice,paper_statements,cited_wrapper_file,cited_wrapper_line,cited_wrapper_name,in_import_closure,why_out_of_cone,in_cone_carriers,carrier_vs_paper,changed,note,cited_at
1,B,A.6 (Lemma),NavierStokes/AppendixHeatResults.lean,66,NavierStokes.AppendixHeatResults.endpoint_derivatives,False,WRAPPER,"NavierStokes/RadialHeatProfile.lean:216 iteratedDerivWithin_profile; :624 radial_heat_equation; :441 profile_logSlope_lt; NavierStokes/HeatProfileExtension.lean:70 extension, :73 extension_contDiff",EXACT on A.6's ODE / log-slope / smoothness clauses; NO IN-CONE COUNTERPART for the explicit endpoint display (A.35) and the explicit (A.36) constant,"CHANGED (LEAN STRONGER -> EXACT, partial)","`endpoint_derivatives` is in the PaperAdditionalResults display layer; its only consumer `first_endpoint_jet` (:105) is in the same file. The in-cone jet formula is `profileJet`-valued, not the closed rising-factorial value.",align-B.md:26
2,A,4.10 (Proposition),NavierStokes/AppendixJoiningResults.lean,17,NavierStokes.AppendixJoiningResults.axis_initial_margin,False,WRAPPER,NavierStokes/NominalConeAssembly.lean:1517 exists_nominal_cone; NavierStokes/NaturalAxisData.lean:79 neg_W_formula,EXACT on 4.10's existence substance; NO IN-CONE COUNTERPART for the printed numeric axis margin `14/5 < -W`,SAME (EXACT) with a new gap flagged,Zero consumers; whole file (5 decls) out of the seeds' import closure.,align-A.md:40
3,B,B.4 (Lemma),NavierStokes/AppendixJoiningResults.lean,67,NavierStokes.AppendixJoiningResults.reference_first_gt_three,False,WRAPPER,NavierStokes/ReferenceBounds.lean:1004 ReferenceBoundsOnHold; :1180 exists_reference_bounds,"EXACT on B.4's four uniform families and the hold-region source bound; NO IN-CONE COUNTERPART for the `p1 > 3 on [100,110]` clause",SAME (EXACT) with the p1>3 clause newly flagged as out of cone,Zero consumers; display layer.,align-B.md:34
4,B,B.6 (Cor),NavierStokes/AxisHolomorphic.lean,539,NavierStokes.AxisHolomorphic.exists_common_holomorphic_extension,True,WRAPPER,NavierStokes/AxisHolomorphic.lean:401 complexProfile_analytic; :414 complexProfile_bound; :513 exists_parameterTube_subset; NavierStokes/ActivationHolomorphic.lean:1108 exists_initialTube,"EXACT - the wrapper is a pure existential repackaging of exactly these in-cone lemmas (same tube, same bound, same jet identities)",SAME,Zero consumers.,align-B.md:36
5,B,B.6 (Cor),NavierStokes/AxisHolomorphicJoint.lean,202,NavierStokes.AxisHolomorphicJoint.exists_common_joint_extension,True,WRAPPER,NavierStokes/AxisHolomorphic.lean:401 complexProfile_analytic; :414 complexProfile_bound; :513 exists_parameterTube_subset; NavierStokes/AxisHolomorphicJoint.lean:177 complexProfile_joint_smooth_tube,"EXACT - same repackaging plus the joint-smoothness field, which its proof takes from the in-cone tube lemmas",SAME,Zero consumers.,align-B.md:36
6,B,B.2 (Prop),NavierStokes/AxisJointAnalytic.lean,101,NavierStokes.AxisJointAnalytic.profile_analyticOnNhd,False,WRAPPER,NavierStokes/AxisContraction.lean:753 natural_axis_profiles; NavierStokes/AnalyticCoefficientBounds.lean:315 uniform_normalizedExp_axisData; NavierStokes/AxisHolomorphic.lean:401 complexProfile_analytic,EXACT - real-strip analyticity is the real slice of the in-cone complex-tube analyticity,SAME,"Display layer; only consumer is `NaturalEntrance.CoefficientProfile.scaled_analytic` (NavierStokes/NaturalAxisJointAnalytic.lean:22), itself out of cone.",align-B.md:32
7,B,B.2 (Prop),NavierStokes/AxisProfile.lean,48,NavierStokes.AxisProfile.profileCoeff,True,WRAPPER,NavierStokes/AxisSeries.lean:174 profile; :302 profile_gt_quarter; :347 bessel_one_le_one,EXACT (one numeric constant weaker) - the comparison-series bound the paper's B.2 needs is in cone; only the explicit quartic/cubic truncation identities are not,SAME,All 6 consumers of `profileCoeff` are inside AxisProfile.lean and all out of cone; the in-cone route uses AxisSeries.profile instead.,align-B.md:32
8,B,5.3 (Prop),NavierStokes/BaseResidual.lean,1439,NavierStokes.BaseResidual.truncationResidual_rate,True,WRAPPER,NavierStokes/BaseResidual.lean:2514 baseResidual_jetRate_axis; :1513 FiniteIdentities,"LEAN STRONGER - the carrier proves `JetRate ... m n` for EVERY real n >= 0 (arbitrary flatness order, and up to the axis), strictly beating the paper's single rate 2h(N+1) - K_m",CHANGED (LEAN WEAKER (trivially) -> LEAN STRONGER),"Chain: truncationResidual_rate -> baseResidual_jetRate:1521 -> baseResidual_allJetsFlat:1614, all out of cone; the in-cone flat-error route is the `_axis` theorem.",align-B.md:18
9,D,"(prose, line 250)",NavierStokes/BaseWitnessClosure.lean,22,NavierStokes.BaseWitnessClosure.actual_profile_eq,False,OTHER: orphan module,NavierStokes/FinalSlowBase.lean:627 profileData_nonempty; :634 actualProfile,EXACT - the cited `rfl` identity is definitional and the in-cone `actualProfile` is the object it names,SAME,"`NavierStokes/BaseWitnessClosure.lean` is imported by NO file in the repository - not by `ComparatorSolution`, not by `PaperResults`. It is outside even the display layer.",align-D.md:250
10,A,4.7 (2nd) (Lemma),NavierStokes/ClosedIntervalCk.lean,23,NavierStokes.ClosedIntervalCk.I,False,WRAPPER,NavierStokes/MomentRepair.lean:206 exists_unique_small_correction; NavierStokes/UniformAngularReset.lean:273 exists_smooth_solver_on_ball,"LEAN WEAKER - the in-cone route has the C0 unique small correction and a C-infinity solver in the datum on a ball, but no C^k norm estimate and no statement over the closed interval I = Icc (-1) 1",CHANGED (LEAN STRONGER -> LEAN WEAKER),`ClosedIntervalCk.lean` is 0/48 in cone and out of the seeds' import closure; the whole C^k-over-I framework is display-only.,align-A.md:37
